fav_number,statuses_count,followers_count,friends_count,favourites_count,listed_count,lang,label
4,127,23,152,1,0,2,0
16613,7227,786,834,2356,9,6,0
348,3627,227,627,253,0,6,0
210,5845,611,745,547,9,2,0
2606,4375,521,487,27,2,6,0
4754,574,112,359,39,0,6,0
2980,621,25,135,2,0,6,0
1374,17,6,11,0,0,6,0
797,6866,463,330,2180,5,2,0
11,612,100,259,24,2,6,0
3,1601,147,405,9,3,6,0
1,348,262,1513,28,1,6,0
68,1367,404,1015,2,4,6,0
215,30909,2818,3032,1981,87,2,0
331,1806,193,117,393,1,6,0
15860,733,104,268,1,1,6,0
15966,1166,82,92,511,0,6,0
0,119,20,88,0,0,6,0
26,252,53,411,6,0,6,0
729,191,13,68,1,0,6,0
1323,820,227,521,20,5,6,0
164,7654,154,198,1079,2,6,0
1658,115,16,67,2,0,6,0
2819,891,68,267,5,1,2,0
144,1406,319,1027,22,1,6,0
8,132,26,115,0,0,6,0
27,22257,495,413,113,1,6,0
81,4681,1206,1650,2235,1,6,0
1108,2656,95,174,224,3,2,0
455,4061,193,936,1634,0,6,0
23981,2453,333,678,1510,2,6,0
727,1110,179,2000,0,1,6,0
23,460,41,183,16,0,6,0
2125,129,8,78,1,0,6,0
5,1911,112,137,86,0,6,0
598,15,17,92,0,0,6,0
9174,1334,94,338,97,0,6,0
33,751,45,89,2,0,6,0
29,1550,235,533,5,3,6,0
3234,280,50,1273,8,1,2,0
1314,87,195,335,11,1,6,0
284,19361,474,389,14497,13,6,0
0,862,127,266,405,0,6,0
5831,736,26,58,7,0,6,0
629,68,31,95,44,0,6,0
21507,7760,768,336,1304,18,6,0
12,5287,849,1846,117,3,6,0
1962,104,63,295,0,1,6,0
36,142,9,40,2,0,6,0
4082,960,172,535,108,2,6,0
215,257,43,64,15,0,6,0
458,209,30,301,6,0,6,0
5157,70,22,106,1,0,6,0
1506,90,10,22,0,0,3,0
3431,705,1110,991,287,8,6,0
7034,1181,55,271,6,0,6,0
756,503,546,1224,1,4,6,0
0,370,69,143,42,0,6,0
34,331,95,396,8,0,6,0
6985,8613,473,373,671,7,5,0
17,24901,330,725,13006,2,6,0
24,1420,49,97,36,0,6,0
583,655,32,62,54,0,6,0
1,58,29,114,52,0,6,0
2636,1153,129,156,81,1,6,0
316,903,126,273,6,1,6,0
1234,195,19,53,58,0,6,0
13033,1135,53,77,177,0,6,0
6185,163,59,128,8,0,6,0
3656,1621,254,562,291,7,6,0
5746,1393,29,100,31,0,6,0
462,1178,41,94,17,1,6,0
6579,4542,184,204,1686,2,6,0
16062,1088,117,295,12,0,6,0
4408,5472,6352,3873,65,11,6,0
0,921,139,190,99,0,6,0
4073,519,139,454,17,3,2,0
1428,478,23,101,566,0,6,0
10536,4240,1012,1449,578,25,6,0
1047,2368,78,272,40,1,6,0
0,325,139,235,185,1,6,0
1931,215,54,210,2,1,6,0
1,568,158,209,19,2,6,0
551,5436,150,95,4167,2,6,0
11434,1792,209,284,62,3,6,0
23,194,46,107,6,2,2,0
19933,386,107,99,6,1,6,0
0,73,7,18,1,0,6,0
57,540,116,220,45,1,6,0
17377,591,152,188,413,0,6,0
511,2685,68,258,585,1,6,0
207,683,67,440,187,0,3,0
1,3553,155,376,300,0,6,0
0,13716,1302,995,1527,5,6,0
132401,57,13,93,0,0,6,0
298,2517,54,125,1,0,6,0
172,18267,1964,2003,22732,4,6,0
565,189,35,178,6,0,6,0
2871,160,46,146,22,0,4,0
0,939,130,335,81,0,6,0
1,825,76,396,130,0,6,0
1045,2549,138,181,519,0,6,0
13,42715,3335,3313,44349,31,6,0
23,597,4,20,0,0,6,0
199,10043,362,233,56,4,6,0
10636,729,46,288,463,0,6,0
18,229,32,145,6,0,6,0
10619,1575,148,284,389,2,6,0
3536,166,60,284,9,0,6,0
50,1105,422,463,1015,3,6,0
5597,6256,517,34,264,3,6,0
850,5165,425,1320,437,2,6,0
10199,42290,2194,1558,177,100,2,0
10813,638,215,318,0,0,6,0
46,2437,1594,1994,363,10,6,0
209,133,25,131,1,0,6,0
7341,456,43,210,6,0,6,0
0,6948,2059,371,492,42,6,0
215,2190,46,122,15,0,6,0
76,3461,239,348,458,4,6,0
0,52,24,137,0,0,6,0
17468,18860,1377,693,646,50,6,0
15,4082,244,294,257,0,6,0
12333,1448,344,548,2,6,6,0
159,169,13,41,3,0,2,0
965,1308,93,157,706,0,6,0
0,28808,2638,1743,1021,39,6,0
0,402,93,78,36,4,6,0
404,2740,107,258,39,7,2,0
7,114,47,87,11,0,6,0
203,16776,410,516,2338,5,6,0
1015,2213,162,97,7,1,6,0
512,456,28,127,1,2,6,0
1041,5703,325,474,119,1,6,0
14123,9824,195,117,102,8,6,0
5,14,19,50,0,0,6,0
18171,1013,38,151,34,0,6,0
2124,1033,181,279,6,8,6,0
10,1766,95,255,4,4,6,0
75,200,43,203,2,2,6,0
24,3506,389,909,79,3,6,0
6813,19025,346,356,20,10,6,0
3,172,17,50,1,0,6,0
0,2277,150,536,33,5,2,0
979,18611,295,49,1947,0,6,0
4896,114,17,36,7,0,6,0
3,4476,612,257,267,35,6,0
164,558,111,118,8,0,6,0
0,2186,193,320,24,1,4,0
46,8639,348,491,412,5,6,0
4525,1386,88,267,106,0,2,0
11400,221,52,353,8,0,6,0
53,392,23,57,38,1,6,0
33485,9,19,139,3,0,6,0
1836,2487,196,329,588,1,6,0
33672,2935,184,302,1,5,3,0
3665,4357,231,152,90,0,2,0
4204,385,39,286,0,0,6,0
3048,232,18,60,3,0,2,0
13164,352,17,244,0,0,6,0
6462,102,25,160,0,0,6,0
137,360,18,65,5,0,6,0
36393,2894,80,145,10,1,6,0
1233,1473,108,250,7,2,6,0
0,4862,116,160,98,2,2,0
0,3280,651,912,1712,4,6,0
3950,745,195,554,2,0,6,0
4763,3190,105,42,354,0,6,0
2387,2636,54,100,0,0,2,0
311,1667,408372,194,4,744,6,0
1490,752,43,190,19,0,2,0
1,1254,54,219,2,0,6,0
31261,190,76,198,8,0,6,0
1322,38781,623,323,1209,22,2,0
797,1697,104,300,21,1,6,0
1924,500,35,105,2,0,6,0
0,7999,178,404,25,0,6,0
4714,114,144,178,0,1,6,0
14829,1322,144,227,37,2,6,0
7186,360,46,86,2,0,6,0
15341,4323,80,40,99,2,6,0
1367,56,62,414,1,0,6,0
8,342,51,205,2,0,6,0
0,1680,110,190,851,2,6,0
15444,79876,473,299,203,16,6,0
0,538,98,245,29,0,6,0
2892,236,39,165,620,0,6,0
23,3439,474,446,4696,2,6,0
20,4245,264,731,419,0,6,0
2284,9057,504,401,3891,9,6,0
0,486,57,170,17,2,6,0
1632,575,8,43,99,0,6,0
0,9282,646,646,811,4,6,0
11560,106,45,167,0,0,6,0
8543,185,128,487,121,2,6,0
129,13300,238,158,1905,5,6,0
353,559,181,173,25,2,6,0
11618,1671,86,80,50,2,6,0
29163,230,5,93,0,0,6,0
20,969,69,210,233,1,6,0
24242,807,99,366,147,2,6,0
239,889,201,500,7,5,2,0
13662,8910,111437,4071,2214,54,6,0
3665,15795,6403,5835,10365,28,6,0
5,15238,516,801,30,3,2,0
8103,1580,834,993,53,2,6,0
89,319,66,241,0,0,6,0
1118,6273,588,868,16,9,6,0
7852,128,65,141,0,1,6,0
0,989,34,105,1,1,6,0
581,88,20,94,1,0,6,0
4709,1425,145,213,3622,0,6,0
0,19620,1084,899,38,26,6,0
1,22540,2065,1125,0,64,6,0
0,1012,283,268,15,3,2,0
21,693,101,299,20,0,6,0
0,825,93,185,10,0,6,0
303,685,83,249,756,1,6,0
53,120,24,83,16,0,6,0
5661,1302,253,608,1,1,6,0
0,133,37,108,28,0,6,0
3729,465,13,36,37,0,6,0
431,14,2,6,0,0,6,0
1212,5507,1945,195,1,39,6,0
239,4166,280,536,632,15,2,0
46,1095,45,52,2,0,6,0
5272,1225,60,289,66,0,6,0
0,1529,315,706,1409,1,6,0
915,219,45,133,0,0,6,0
4902,516,46,96,28,0,2,0
14,154,19,120,17,0,6,0
0,1298,81,253,117,1,2,0
80094,9966,115,454,60,10,2,0
22,3098,59,165,587,0,6,0
46,2716,284,278,1549,6,6,0
11,145,10,23,2,1,6,0
404,489,276,448,216,0,6,0
12629,1065,144,543,156,0,6,0
12,3029,200,229,1787,1,6,0
293,433,52,233,36,0,6,0
2,492,57,83,470,0,6,0
2526,45,23,65,2,0,6,0
0,603,68,122,60,0,6,0
1094,1912,34,194,8,0,6,0
131,421,48,96,1,0,2,0
1081,493,34,99,65,1,6,0
2331,299,82,174,191,2,2,0
972,242,27,128,119,0,6,0
21,430,64,133,191,1,6,0
20516,2943,123,148,83,0,6,0
289,1462,68,96,6,0,2,0
2,618,22,125,207,0,6,0
5356,5755,201,165,3,0,6,0
1,24,71,259,5,18,6,0
1151,96,26,51,0,0,6,0
150,951,47,123,38,1,6,0
21,576,78,209,0,2,6,0
23872,130,30,127,148,0,6,0
166,1497,153,308,121,3,6,0
159,1368,252,627,98,1,6,0
0,12381,297,215,259,3,6,0
90,8382,1000,1842,1562,6,6,0
1312,103,45,66,0,0,6,0
21,274,20,80,4,0,6,0
6421,1875,97,198,525,0,6,0
124,948,35,332,201,1,6,0
88,3806,198,126,528,6,6,0
3825,5206,172,337,10,2,6,0
0,2551,180,637,187,1,6,0
18,165,45,179,0,0,6,0
10,9665,730,1059,122,9,6,0
113,844,149,121,67,1,6,0
1022,1529,70,121,490,0,6,0
6519,1402,150,179,244,1,6,0
14320,4898,1498,1478,670,9,6,0
0,299,29,28,3,0,2,0
30,7,6,54,1,0,6,0
7903,4812,575,860,30,18,6,0
1,7122,564,705,169,5,6,0
6805,344,49,20,37,0,6,0
0,591,1061,1653,227,2,6,0
1939,7074,471,759,6102,4,6,0
6044,6002,272,336,0,15,6,0
7499,1391,50,144,104,0,6,0
1107,801,147,309,85,2,6,0
405,1901,61,173,42,1,6,0
14,485,423,400,0,1,6,0
3,1373,68,84,86,0,6,0
174,1162,962,1999,95,12,6,0
1,199,31,121,1,0,6,0
7634,28833,329,588,61,11,6,0
0,165,30,314,1,0,6,0
96,1277,300,1019,0,1,6,0
275,260,28,200,61,0,6,0
10966,847,49,79,2,0,6,0
269,423,2,20,0,0,6,0
5959,85,3,22,4,0,6,0
0,18470,1341,2002,4279,7,6,0
1,556,237,358,38,3,6,0
6342,210,73,93,0,0,6,0
152,1206,80,346,14,0,2,0
267,471,87,361,3,1,6,0
423,1730,381,821,218,0,6,0
579,360,44,102,1,0,6,0
430,1784,70,209,303,1,6,0
0,155,26,51,0,0,6,0
36706,1242,717,1092,370,2,6,0
1722,3833,111,216,0,1,6,0
1680,155,45,173,10,0,6,0
63550,1064,223,320,113,1,6,0
11232,67,11,58,8,0,2,0
5033,1352,1403,1442,287,6,6,0
20105,754,19,82,26,0,6,0
8900,5561,587,295,4,9,6,0
0,428,61,78,8,6,6,0
3291,14467,1612,1581,431,10,6,0
539,5936,200,461,81,4,6,0
5599,285,95,200,80,1,6,0
8690,255,13,167,3,0,6,0
11565,364,32,110,16,0,6,0
950,1583,230,273,417,1,6,0
550,42,1,69,0,0,6,0
1995,134,32,126,32,2,6,0
5623,4043,126,126,98,1,6,0
634,1184,75,138,0,0,6,0
308,968,125,235,325,1,6,0
0,638,139,176,1,2,2,0
862,2475,207,356,38,1,6,0
23,6595,51,317,0,1,6,0
0,1096,45,289,84,0,6,0
20,676,61,227,169,1,6,0
525,2338,259,824,383,0,6,0
0,1288,241,663,94,1,6,0
159,444,125,452,16,4,2,0
0,216,46,47,1,0,6,0
0,70,11,16,0,1,2,0
4436,486,26,159,1,0,6,0
103,732,85,338,16,3,2,0
17066,44,2,32,0,0,6,0
0,7838,213,506,180,9,6,0
5,1424,128,472,285,0,6,0
1,266,39,180,7,0,6,0
11209,2691,192,195,1208,1,2,0
8167,3203,694,886,375,0,6,0
38502,1095,50,115,39,0,6,0
13892,1287,22,105,4,0,6,0
0,302,56,156,12,4,6,0
230,107,89,81,4,0,6,0
2,3027,190,795,176,2,6,0
5061,812,466,911,169,1,6,0
0,185,12,66,4,0,6,0
42,2228,48,164,1,1,6,0
36,748,85,460,80,1,2,0
0,9425,30425,162,157,135,6,0
1472,8384,2526,299,1178,41,6,0
0,11156,148,104,18,5,6,0
239,2493,275,549,8,0,6,0
25,2568,351,341,318,2,6,0
1041,259,97,126,53,0,6,0
32,887,19,51,1,0,6,0
56,1027,94,195,34,0,6,0
4750,6016,430,503,795,2,6,0
1643,27327,973,530,7862,3,6,0
165,1069,137,150,48,2,6,0
1301,2185,64,262,173,0,6,0
3260,2492,490,567,17,2,6,0
7,1219,80,169,52,1,6,0
15,1824,156,91,57,4,6,0
134,1598,39,74,16,2,6,0
18,359,28,150,1,0,2,0
2219,666,33,135,1,0,6,0
5179,392,129,335,303,1,6,0
1095,169,30,56,21,0,6,0
43,1465,61,158,38,2,6,0
24,324,82,128,8,0,6,0
11042,440,114,69,1334,0,6,0
61,1878,262,685,54,13,6,0
360,131,79,321,19,1,6,0
0,260,56,96,10,2,6,0
178,508,479,261,0,17,6,0
329,276,129,325,55,0,6,0
295,17681,937,1491,105,18,2,0
2888,21,67,232,0,0,6,0
326,235,43,182,13,0,6,0
17796,3717,225,290,21,3,6,0
2361,78338,2800,2406,27726,48,6,0
2988,4633,158,413,59,4,6,0
40107,1747,174,307,13,1,6,0
45,42,293,1527,0,6,6,0
336,2917,395,700,12,8,6,0
11,282,12,36,6,0,6,0
15,19978,866,1524,580,18,6,0
2558,409,74,122,0,0,6,0
2912,1358,119,626,136,0,6,0
240,575,18,100,4,0,6,0
23,3302,370,934,103,7,6,0
1204,5311,1249,886,296,37,6,0
1724,8635,1707,1376,3266,67,2,0
3286,759,286,1625,2,1,6,0
18,421,104,187,20,0,6,0
14628,1869,95,135,42,0,6,0
3816,295,96,233,6,0,6,0
2,63,10,41,10,0,2,0
0,1651,16,55,5,0,6,0
0,26,50,152,5,0,6,0
5578,5339,253,181,3872,0,6,0
455,5250,397,666,2843,0,6,0
16210,716,149,428,109,0,2,0
1799,15131,2107,1898,1170,28,6,0
5601,10954,314,148,149,8,2,0
1661,140,13,31,1,0,6,0
0,57,76,650,0,0,2,0
16537,629,61,179,236,1,6,0
27,1656,126,650,20,0,6,0
113,1008,14,36,0,0,6,0
70,10,8,35,0,0,6,0
0,205,41,175,3,0,6,0
2281,6793,210,175,23,2,6,0
326,3730,220,282,34,6,3,0
2768,121,43,164,9,0,6,0
1053,5315,219,383,186,3,6,0
4213,324,28,208,145,2,6,0
570,1959,289,364,56,1,2,0
229,1045,66,125,29,0,6,0
95,246,333,1598,10,0,2,0
0,550,50,195,22,0,6,0
73611,827,161,309,452,0,6,0
4505,106,27,192,7,0,6,0
577,103,19,52,0,0,6,0
1507,411,31,139,29,1,6,0
142,142,3,56,1,0,6,0
1,853,62,388,38,0,6,0
14300,183,17,78,3,1,6,0
503,2386,338,400,810,6,6,0
253,144,121,23,0,0,6,0
687,10,4,0,0,0,6,0
538,798,29,105,3,0,6,0
0,3427,396,962,13,5,6,0
516,2754,477,218,224,13,6,0
29,80,54,187,46,1,6,0
0,205,61,143,11,0,6,0
1124,594,44,91,0,0,6,0
1898,160,53,487,1,1,2,0
8439,530,138,429,53,0,6,0
13988,5558,872,625,3146,7,6,0
25744,3332,269,253,281,1,6,0
137,77,30,46,20,1,6,0
16667,2471,195,659,71,0,6,0
10199,6357,215,681,1356,3,6,0
7581,1670,257,1462,145,2,6,0
0,1652,412,1974,4,3,6,0
511,3866,533,51,0,15,6,0
1515,520,101,286,98,1,6,0
10,2212,117,287,2,2,3,0
31,72,21,45,0,0,6,0
999,991,55,100,9,0,6,0
22925,2291,93,287,290,0,6,0
11414,2683,57,215,82,0,6,0
0,1379,66,662,236,0,6,0
18,3863,102,90,457,1,6,0
6320,549,63,157,43,1,6,0
117,1215,105,547,14,0,6,0
338,80,30,161,0,0,6,0
1016,54,28,126,0,0,6,0
751,189,26,91,8,0,6,0
67,2177,178,648,186,0,6,0
29,77,14,18,1,1,2,0
80,3608,121,203,40,0,6,0
216,49836,1382,1006,387,11,2,0
2974,1292,38,101,498,0,6,0
32163,3204,120,253,4,0,6,0
0,868,164,351,36,1,6,0
10230,18,8,80,0,0,6,0
1332,2230,93,159,401,3,6,0
788,128,126,139,8366,0,6,0
0,762,71,280,78,0,6,0
1495,4178,169,322,780,0,6,0
28858,1111,84,601,0,3,6,0
5096,116,52,201,4,0,6,0
1655,103,14,50,0,0,6,0
79,3784,336,787,173,3,6,0
3776,38,10,22,0,0,6,0
1140,9626,508,1153,3819,0,6,0
476,124,26,55,4,0,6,0
12270,9717,546,646,1543,2,6,0
4539,2073,180,168,465,1,6,0
3,30,9,37,0,0,6,0
73,5811,1578,332,11,35,6,0
60,248,85,401,5,0,6,0
0,362,72,112,1,0,6,0
327,1034,222,389,37,1,2,0
69,139,53,53,0,1,6,0
30,1280,88,613,19,0,6,0
0,6991,1001,614,2401,6,6,0
4391,276,87,171,40,1,6,0
42,65,12,111,0,0,6,0
4800,778,50,67,6,0,8,0
3823,413,42,275,42,0,6,0
10293,4392,418,1020,6,1,6,0
1,1681,148,232,6,0,6,0
14186,4725,287,803,197,3,6,0
63,2414,109,327,67,3,6,0
2066,103,88,229,109,0,6,0
26,1142,176,494,3,1,6,0
4119,669,284,362,69,2,6,0
1234,1188,65,235,1,1,6,0
2971,309,280,149,31,7,2,0
5955,36944,582,437,702,10,6,0
62,9317,161,195,2,3,6,0
187,358,161,700,9,2,6,0
1,1843,262,323,98,4,6,0
5539,1573,54,109,37,1,6,0
0,3266,384,1172,39,6,6,0
4236,219,263,1627,4,6,2,0
10432,1502,344,428,110,0,2,0
1536,479,62,127,19,0,6,0
3,36,16,67,1,1,6,0
0,5660,554,937,6,23,6,0
0,6464,2352,469,251,80,6,0
190,2085,341,454,289,0,6,0
